company_name,domain,website_clean,priority_tier,tier_name,business_type,market_region,estimated_employees,currency,monthly_revenue_display,monthly_revenue_numeric,opportunity_value_display,opportunity_value_numeric,overall_score,digital_maturity_score,technology_readiness,digital_opportunity,website_performance_score,website_accessibility_score,website_seo_score,website_best_practices_score,website_overall_score,website_status,needs_improvement,outreach_priority,primary_pain_point,urgency_level,estimated_monthly_impact,success_probability,follow_up_timeline,talking_point_1,talking_point_2,talking_point_3,discovery_query,discovery_date,discovery_source,enrichment_status,enrichment_mode,enrichment_timestamp,lead_status,assigned_to,contact_priority,follow_up_date,notes,created_date,last_modified
"Family Dentistry in Vancouver, WA",vancouverdds.com › services › family-dent...,https://vancouverdds.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.666666666664,USD $183,182.69999999999996,0.898,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4531.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:28:53.105635,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.127365,2025-07-30T16:29:02.128643
Vancouver Dental Specialty Clinic - Prosthodontist & Cosmetic ...,vancouverdentalimplants.ca,https://vancouverdentalimplants.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $292,292.32000000000005,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:28:54.090609,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.128643,2025-07-30T16:29:02.128643
Home - Experssions Clinic – Dental Clinic in Vancouver,expressionsclinics.ca,https://expressionsclinics.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $268,267.96000000000004,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:28:55.089870,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.128643,2025-07-30T16:29:02.128643
"Dental Exams and Cleanings in Vancouver, BC",mydentistvancouver.ca › service › dental-exams-...,https://mydentistvancouver.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $268,267.96000000000004,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:28:56.114034,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.128643,2025-07-30T16:29:02.128643
Vancouver Dentists & Dental Clinic by Deerwater Dental ...,deerwater.ca,https://deerwater.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $268,267.96000000000004,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:28:57.109391,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.128643,2025-07-30T16:29:02.128643
Downtown Vancouver Dentist BC | Professional Dental Clinic ...,theartofsmile.ca,https://theartofsmile.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $244,243.59999999999997,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:28:58.107928,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.128643,2025-07-30T16:29:02.128643
Our Services - Experssions Clinic – Dental Clinic in Vancouver,expressionsclinics.ca › our-services,https://expressionsclinics.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $268,267.96000000000004,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:28:59.096266,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.128643,2025-07-30T16:29:02.128643
Enhance Dental Centre: Dentist in Kitsilano Vancouver,vancouverdentistbc.ca,https://vancouverdentistbc.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $268,267.96000000000004,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:29:00.109279,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.128643,2025-07-30T16:29:02.128643
Urban Dental Clinic: Dentist in Fairview | Dentist Near You,urbandentalclinic.ca,https://urbandentalclinic.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $268,267.96000000000004,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:29:01.114130,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.129698,2025-07-30T16:29:02.129698
Dentist Near Fraser | Expert Care & Emergency Services,mydentistvancouver.ca › dentist-near-fraser,https://mydentistvancouver.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $244,243.59999999999997,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:29:02.111315,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:29:02.129698,2025-07-30T16:29:02.129698
